Product Name,Stars,Price
"Wireless Switch Pro Controller for Switch/Switch Lite, YCCTEAM 1200mAh Built-in Rechargeable Battery Remote Pro Controller Gamepad Joystick for Switch Console, Support Screenshot and Twitch Movement",4.1,35.99
"Switch Dock with Ethernet, LAN Port Nintendo Switch Docking Station Centeni Portable Nintendo Dock Connect to TV via HDMI Automatically - Replacement Charging Stand Dock for Nintendo Switch",3.7,39.99
"Zadii Hard Carrying Case Compatible with Nintendo Switch, Travel Case fit Switch Pro Controller",4.8,32.99
"Cat Claw Design Thumb Grip Caps, Joystick Cap for Nintendo Switch & Lite, Soft Silicone Cover for Joy-Con Controller （Yellow & Purple)",3.5,9.99
"Nintendo Switch 3 items Bundle:Nintendo Switch 32GB Console Neon Red and Blue Joy-con,64GB Micro SD Memory Card and Super Mario Odyssey Game Disc",3.7,639.99
Mario Kart 8 Deluxe,4.8,Unknown
Orzly Screen Protector for Nintendo Switch Lite 2019 Model [4 Pack] Tempered Glass Screen Protectors. No Bubbles Easy Installation Anti Scratch Edition,4.7,7.99
"Dockable Clear Case for Nintendo Switch, VANJUNN 3 in 1 Protective Case Cover for Nintendo Switch and Joy-Con Controller with Clear Grip Cover Shock-Absorption and Anti-Scratch Design( Crystal Clear)",4.2,12.99
Borderlands Legendary Collection,3.5,49.94
"Switch Accessories Bundle - Orzly Essentials Pack for Nintendo switch Case & Screen Protector, Grip Case, Games Holder, Headphones - Classic Black Edition",4.7,31.44
"Wireless Pro Controller for Nintendo Switch Support Amiibo - OUBANG Switch Remote Gamepad with NFC and Awakening Function,Support Gyro Axis,Turbo and Dual Vibration",4.3,23.99
TechKen XB Pro Controller Compatible with Nintendo Switch and Nintendo Switch Lite,4.5,30.97
PowerA Wireless GameCube Style Controller for Nintendo Switch - Purple,4.3,Unknown
"Switch Controller, Controller for Nintendo Switch with Motion & Dual Vibration, Wireless Controller for Switch with Bluetooth",4.4,28.78
Nintendo Switch - Animal Crossing: New Horizons Edition - Switch,4.5,Unknown
"Compatiable with Nintendo Switch JoyCon Charging Dock, Support 1-4pcs Joy Con, Charger Stand Station with Individual LED Indicator for Nintendo Switch Joy-Con",4.6,13.99
PGA TOUR 2K21 - Nintendo Switch,Unknown,59.99
LEGO DC Super-Villains - Nintendo Switch,4.7,24.88
"Nintendo Switch Protection Pack – Screen Protector, Cleaning Cloth, Game Card Cases, Micro SD Cases",4.6,4.99
HORI Compact Playstand for Nintendo Switch Officially Licensed by Nintendo,4.7,12.99
Majoras Mask Link Amiibo - TLOZ Collection (Nintendo Switch/3DS/Wii U) Switch),4.8,34.99
Nintendo Switch Zelda Sheikah Eye Carrying Case – Protective Deluxe Travel Case – Koskin Leather with Embossed Zelda Breath of The Wild Art – Official Nintendo Licensed Product,4.7,19.99
